setting,group,method,split,stationary_error,nonstationary_error
1,data_160_50_space_time,stlcor,"(3, 3, 3)",0.9650694583670392,0.9665644937686036
1,data_160_50_space_time,stlcor,"(4, 4, 4)",1.009727347380561,1.0085682363686146
1,data_160_50_space_time,stsave,"(2, 2, 2)",0.605760754,0.5882120377730939
1,data_160_50_space_time,stsave,"(3, 3, 3)",0.00405652,0.002851976
1,data_160_50_space_time,stsave,"(4, 4, 4)",0.011351989,0.009464951
1,data_160_50_space_time,stsir,"(2, 2, 2)",0.5964229542985665,0.5783084057259923
1,data_160_50_space_time,stsir,"(3, 3, 3)",0.004514054,0.003321357
1,data_160_50_space_time,stsir,"(4, 4, 4)",0.005369035,0.004130858
1,data_160_50_time,random,"(2, 2, 2)",1.2023720553785324,1.1944993889997615
1,data_160_50_time,random,"(3, 3, 3)",1.2023720553785324,1.1944993889997615
1,data_160_50_time,random,"(4, 4, 4)",1.2023720553785324,1.1944993889997615
1,data_160_50_time,stcomb,"(2, 2, 2)",0.035314384,0.024361645
1,data_160_50_time,stcomb,"(3, 3, 3)",0.012959865,0.003882534
1,data_160_50_time,stcomb,"(4, 4, 4)",0.014873838,0.005591246
1,data_160_50_time,stlcor,"(2, 2, 2)",0.037092431,0.026234399
1,data_160_50_time,stlcor,"(3, 3, 3)",0.015163753,0.005559435
1,data_160_50_time,stlcor,"(4, 4, 4)",0.016214393,0.006429453
1,data_160_50_time,stsave,"(2, 2, 2)",0.041340424,0.029836963
1,data_160_50_time,stsave,"(3, 3, 3)",0.012638826,0.003689165
1,data_160_50_time,stsave,"(4, 4, 4)",0.017063636,0.007605843
1,data_160_50_time,stsir,"(2, 2, 2)",0.9100816257739216,0.8978073862592229
1,data_160_50_time,stsir,"(3, 3, 3)",0.014812605,0.005519079
1,data_160_50_time,stsir,"(4, 4, 4)",0.018481992,0.008884452
1,data_80_10_space,random,"(2, 2, 2)",1.2104370734952707,1.1950277894538686
1,data_80_10_space,random,"(3, 3, 3)",1.2104370734952707,1.1950277894538686
1,data_80_10_space,random,"(4, 4, 4)",1.2104370734952707,1.1950277894538686
1,data_80_10_space,stcomb,"(2, 2, 2)",0.7300962138351639,0.6970319276473427
1,data_80_10_space,stcomb,"(3, 3, 3)",0.041797921,0.025157425
1,data_80_10_space,stcomb,"(4, 4, 4)",0.1266154807894794,0.1026125657687315
1,data_80_10_space,stlcor,"(2, 2, 2)",1.555797743113292,1.5287226914077536
1,data_80_10_space,stlcor,"(3, 3, 3)",1.6831382809969484,1.650915645911165
1,data_80_10_space,stlcor,"(4, 4, 4)",1.7116505810433331,1.6814640134443066
